"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 03 12:40:44 UTC 2024","Sun Nov 03 12:40:50 UTC 2024","6378","","Test set for Sweet Shop Main Page.","","autotests.tests.e2e.MainPageOrderTests","checkDeliveryTypeChanging","Testcase 3. Change the delivery type to 'Standard Shipping' and verify the total price.","Testcase 3. Change the delivery type to 'Standard Shipping' and verify the total price."
"passed","Sun Nov 03 12:40:50 UTC 2024","Sun Nov 03 12:40:57 UTC 2024","7304","","Test set for Sweet Shop Main Page.","","autotests.tests.e2e.MainPageOrderTests","checkPresenceSelectedItemInBasket","Testcase 1. Check that all the selected items are present in basket.","Testcase 1. Check that all the selected items are present in basket."
"passed","Sun Nov 03 12:40:57 UTC 2024","Sun Nov 03 12:41:04 UTC 2024","6383","","Test set for Login page.","","autotests.tests.login.LoginTests","loginHappyPath","Testcase 5. Positive Login test.","Testcase 5. Positive Login test."
"passed","Sun Nov 03 12:40:24 UTC 2024","Sun Nov 03 12:40:36 UTC 2024","11349","","Test set for checkout page.","","autotests.tests.basket.CheckoutTests","checkFillingFormThenCheckout","Testcase 4. Verify checkout after filling form.","Testcase 4. Verify checkout after filling form."
"passed","Sun Nov 03 12:40:36 UTC 2024","Sun Nov 03 12:40:44 UTC 2024","8000","","Test set for Sweet Shop Main Page.","","autotests.tests.e2e.MainPageOrderTests","checkBasketTotalPrice","Testcase 2. Test the basket Total sum matches the price of individual items based on quantity and currency.","Testcase 2. Test the basket Total sum matches the price of individual items based on quantity and currency."
